Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1-score,MCC,TN,FP,FN,TP,ROC-AUC,PR-AUC,Training Time (s),Inference Time (s),Ablation Setting,Removed Features,Selection Score
Gradient Boosting,0.7280701754385965,0.5572390572390572,0.7358490566037735,0.9629629629629629,0.15151515151515152,0.8342245989304813,0.20324694243999442,5,28,3,78,0.7474747474747475,0.900762860310119,0.19100880000041798,0.0045538999838754535,All features,None,0.7754753416518122
Random Forest,0.7280701754385965,0.7368125701459034,0.8787878787878788,0.7160493827160493,0.7575757575757576,0.7891156462585034,0.4350524711508843,25,8,23,58,0.813692480359147,0.923766157145469,0.1838149999966845,0.007998100016266108,All features,None,0.7639175198699009
Gradient Boosting,0.6578947368421053,0.48092031425364756,0.7019230769230769,0.9012345679012346,0.06060606060606061,0.7891891891891892,-0.06117641492073349,2,31,8,73,0.6790123456790124,0.8713383092994351,0.1917826000135392,0.002940199978183955,Without Age,Age,0.7125891042557709
Random Forest,0.6929824561403509,0.6941638608305275,0.8484848484848485,0.691358024691358,0.696969696969697,0.7619047619047619,0.3567017891426682,23,10,25,56,0.7946127946127945,0.9126080033732249,0.19729939999524504,0.009847600013017654,Without Age,Age,0.7355098605098604
Gradient Boosting,0.7105263157894737,0.5538720538720538,0.7352941176470589,0.9259259259259259,0.18181818181818182,0.819672131147541,0.15922171574040855,6,27,6,75,0.7426112981668537,0.8965208269155029,0.19627300003776327,0.00180159998126328,Without Gender,Gender,0.7605203522780936
Random Forest,0.7368421052631579,0.7519640852974185,0.8923076923076924,0.7160493827160493,0.7878787878787878,0.7945205479452054,0.4616505932673838,26,7,23,58,0.8043396932285821,0.9195694665568923,0.1802256999653764,0.006017700012307614,Without Gender,Gender,0.7667184272968138
Gradient Boosting,0.6754385964912281,0.5202020202020202,0.72,0.8888888888888888,0.15151515151515152,0.7955801104972375,0.055829052623908255,5,28,9,72,0.6767676767676767,0.8749781964291112,0.20373109995853156,0.002195900015067309,Without demographics,"Age, Gender",0.7203596740889557
Random Forest,0.7105263157894737,0.7154882154882155,0.8636363636363636,0.7037037037037037,0.7272727272727273,0.7755102040816326,0.3958771301467763,24,9,24,57,0.796109240553685,0.9161075035078028,0.1646718999836594,0.0057966000167652965,Without demographics,"Age, Gender",0.7477028409568092
Gradient Boosting,0.6842105263157895,0.5443322109988776,0.7319587628865979,0.8765432098765432,0.21212121212121213,0.797752808988764,0.11288559822187891,7,26,10,71,0.6954732510288066,0.8660420964043631,0.22916529997019097,0.0031906000222079456,Without bilirubin,"Total_Bilirubin, Direct_Bilirubin",0.7285253702232479
Random Forest,0.7192982456140351,0.7037037037037037,0.8450704225352113,0.7407407407407407,0.6666666666666666,0.7894736842105263,0.3812106263642435,22,11,21,60,0.7875046763935653,0.9074932478662581,0.22117730003083125,0.009417900000698864,Without bilirubin,"Total_Bilirubin, Direct_Bilirubin",0.755355701262134
Gradient Boosting,0.7105263157894737,0.5448933782267116,0.7307692307692307,0.9382716049382716,0.15151515151515152,0.8216216216216217,0.1439445056958435,5,28,5,76,0.6786382341937898,0.8621822806363897,0.2174112000502646,0.004272200050763786,Without enzymes,"Alkaline_Phosphotase, Alamine_Aminotransferase, Aspartate_Aminotransferase",0.7458562097450987
Random Forest,0.6666666666666666,0.6576879910213244,0.8208955223880597,0.6790123456790124,0.6363636363636364,0.7432432432432432,0.29056397283982954,21,12,26,55,0.7429854096520763,0.8917040068818698,0.16648569999961182,0.00834289996419102,Without enzymes,"Alkaline_Phosphotase, Alamine_Aminotransferase, Aspartate_Aminotransferase",0.705732247398914
Gradient Boosting,0.7456140350877193,0.6234567901234568,0.7708333333333334,0.9135802469135802,0.3333333333333333,0.8361581920903954,0.30709488799587037,11,22,7,74,0.7852600074822297,0.9051185599886666,0.1697656000033021,0.0030057000112719834,Without protein features,"Total_Proteins, Albumin, Albumin_and_Globulin_Ratio",0.7896138091524155
Random Forest,0.7456140350877193,0.7671156004489338,0.90625,0.7160493827160493,0.8181818181818182,0.8,0.4882629142180198,27,6,23,58,0.823045267489712,0.9258143577143223,0.19164639996597543,0.00711920001776889,Without protein features,"Total_Proteins, Albumin, Albumin_and_Globulin_Ratio",0.7765525626636738
