Feature,Importance Mean,Importance Std
Alkaline_Phosphotase,0.02416396023318908,0.007043155941356512
Age,0.02398608556545802,0.01154730440683476
Alamine_Aminotransferase,0.017646083707729566,0.012372136656386881
Total_Bilirubin,0.014995232188118657,0.006835563544100567
Aspartate_Aminotransferase,0.013529744405104693,0.011038373326425184
Direct_Bilirubin,0.012152228034264573,0.008277151322690513
Total_Proteins,0.008961106303893046,0.010201987432207151
Albumin,0.0042765549370702705,0.008468951589048614
Gender,0.0034613051674350025,0.0047771655069600285
Albumin_and_Globulin_Ratio,0.0029744101050365236,0.01224381049805061
