Feature,Importance Mean,Importance Std
Albumin_and_Globulin_Ratio,0.0007918183337482287,0.006038020400565529
Gender,-0.00038106319906711095,0.006093693285377857
Total_Proteins,-0.0065501117530414096,0.00735416833751466
Aspartate_Aminotransferase,-0.010607381023136048,0.01447849102655011
Age,-0.010871465708702233,0.009207893843012046
Albumin,-0.01556262933252387,0.006824082357022615
Direct_Bilirubin,-0.016965926801099353,0.018371435241274558
Total_Bilirubin,-0.0263887347653389,0.01953066085471244
Alamine_Aminotransferase,-0.02645005263240822,0.017438488284932913
Alkaline_Phosphotase,-0.028993590140903507,0.019974276241821774
