Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1-score,MCC,TN,FP,FN,TP,ROC-AUC,PR-AUC,Training Time (s),Inference Time (s),Seed
Gradient Boosting,0.7280701754385965,0.5572390572390572,0.7358490566037735,0.9629629629629629,0.15151515151515152,0.8342245989304813,0.20324694243999442,5,28,3,78,0.7474747474747475,0.900762860310119,0.25183530000504106,0.004138599964790046,42
Random Forest,0.7280701754385965,0.7368125701459034,0.8787878787878788,0.7160493827160493,0.7575757575757576,0.7891156462585034,0.4350524711508843,25,8,23,58,0.813692480359147,0.923766157145469,0.19973140000365674,0.008611899975221604,42
Gradient Boosting,0.7456140350877193,0.6414141414141414,0.782608695652174,0.8888888888888888,0.3939393939393939,0.8323699421965318,0.32502522083515856,13,20,9,72,0.7856341189674523,0.9054881615173007,0.20491129998117685,0.002920700004324317,7
Random Forest,0.7192982456140351,0.7306397306397306,0.8769230769230769,0.7037037037037037,0.7575757575757576,0.7808219178082192,0.42257994172136915,25,8,24,57,0.7931163486719042,0.909207280240006,0.19241950003197417,0.007499400002416223,7
Gradient Boosting,0.6403508771929824,0.5314253647586981,0.7272727272727273,0.7901234567901234,0.2727272727272727,0.757396449704142,0.06793315615973393,9,24,17,64,0.6928544706322484,0.8767382685758058,0.2029989999718964,0.002798600005917251,21
Random Forest,0.6228070175438597,0.6537598204264872,0.8392857142857143,0.5802469135802469,0.7272727272727273,0.6861313868613139,0.27897438437435784,24,9,34,47,0.7197904975682753,0.8844257556163546,0.2081000999896787,0.00877549999859184,21
Gradient Boosting,0.6403508771929824,0.5404040404040404,0.7325581395348837,0.7777777777777778,0.30303030303030304,0.7544910179640718,0.0851385070816976,10,23,18,63,0.6464646464646465,0.843342848563666,0.21365819999482483,0.00339000002713874,100
Random Forest,0.6578947368421053,0.6784511784511784,0.85,0.6296296296296297,0.7272727272727273,0.723404255319149,0.3241726641760951,24,9,30,51,0.7108118219229329,0.8774697712660204,0.19163580000167713,0.006698399956803769,100
Gradient Boosting,0.7192982456140351,0.6139169472502806,0.7692307692307693,0.8641975308641975,0.36363636363636365,0.813953488372093,0.2574738927022315,12,21,11,70,0.6782641227085671,0.8479406272091192,0.21118230000138283,0.003559799981303513,2025
Random Forest,0.6929824561403509,0.6582491582491583,0.8108108108108109,0.7407407407407407,0.5757575757575758,0.7741935483870968,0.30076342939034406,19,14,21,60,0.720164609053498,0.8866399231475226,0.22297830000752583,0.009239899984095246,2025
